Seconds,Engine Speed - (G28),Injection Timing,Mass Air Flow - Sensor (G70),Throttle Valve Angle,Ignition - Timing Angle,Intake Air - Temperature (G42),Lambda Control - Bank 1 (actual),Lambda Control - Bank 1 Sensor 1,Accel. Pedal Pos. - Sensor 1 (G79),Cam. Adjustment - Intake B1 (act.),Boost Pressure - Control (N75),Boost Pressure - (actual)
294.45,800,1.02,4.42,4.3,0.8,30,1.01,-1.6,14.8,27,0,890
294.94,800,1.28,4.44,4.3,0.8,30,1.02,-4.7,14.8,28,0,890
295.43,1000,2.55,12.78,11.8,12.8,30,1.03,0,28.9,22,1.6,880
295.92,1640,2.81,21.89,21.2,8.3,31,0.99,-3.1,39.1,4.5,3.5,900
296.41,1600,3.06,24.31,23.9,6,31,1.02,-3.5,39.1,8.5,10.6,960
296.89,1400,3.06,21.06,26.7,3.8,31,1,4.3,39.1,11.5,38.4,1010
297.37,1800,3.06,27.33,28.2,6,31,0.98,0.4,44.9,13.5,78.8,1050
297.86,2320,3.06,41.78,32.2,9,31,1.01,5.9,48,17.5,75.3,1140
298.33,2960,3.57,70.33,36.1,12.8,31,0.98,4.7,50.8,23,55.3,1350
298.81,3840,4.34,100.08,92.5,12.8,31,0.92,2.3,52.3,26.5,45.1,1620
299.31,5040,4.84,150.42,98.8,8.3,31,0.81,0.4,58.2,27,78.8,1780
299.82,5880,0,37.28,7.8,8.3,30,1.99,-13.3,55.5,27.5,82,1830
300.29,5000,0,13.78,12.5,2.3,27,1.99,0,14.8,27.5,0,1130
300.78,4120,1.53,40.75,24.7,27.8,26,0.88,0,28.1,26.5,0,1010
301.3,3760,2.81,91.92,99.6,20.3,27,1.04,-9.8,49.2,25.5,73.3,1150
301.78,4240,6.12,134.14,99.2,11.3,28,0.72,-5.9,79.7,27,72.5,1840
302.26,4720,6.38,145.17,99.6,9.8,30,0.74,1.6,79.7,26.5,77.6,1940
302.75,5160,6.12,155.36,99.6,14.3,30,0.74,-0.4,79.7,28,86.3,1840
303.25,5640,5.36,159.22,99.6,15,30,0.71,-2,79.7,27.5,94.9,1720
303.74,6000,3.31,118.19,17.6,5.3,30,1.99,-14.5,79.7,27.5,94.9,1620
304.21,5200,0,13.83,12.9,3.8,27,1.99,0,14.8,27.5,0,1190
304.72,4520,2.29,76.86,46.3,19.5,26,0.93,0,27.7,27.5,0,910
305.21,4280,3.57,105.11,76.1,15.8,28,0.93,-9.8,48.8,26,35.7,1490
305.7,4560,5.61,141.56,99.6,9.8,30,0.82,-2.7,60.9,28,69.8,1860
306.19,4800,5.61,150.83,99.6,7.5,30,0.84,-0.4,59,27.5,81.2,1950
306.68,5040,5.87,155.69,98,6,30,0.8,0.8,57,28,83.9,1920
307.17,4760,0,2.11,10.6,2.3,28,1.99,-7.8,14.8,28.5,0,1380
307.67,3920,0,13.58,11,-2.3,25,1.99,0,14.8,26,0,1040
308.15,3240,0,11.14,9.8,-3.8,25,1.99,0,14.8,26.5,0,970
308.64,2400,0,8.06,7.5,-5.3,26,1.99,0,14.8,27,0,950
309.13,2400,0,8.11,7.5,-5.3,27,1.99,0,14.8,27.5,0,930
309.61,2400,0,8.36,7.5,-5.3,27,1.99,0,14.8,27.5,0,930
